"","country","super95","diesel","heizöl","date","country_ger"
"1","Austria",1765,1799,1525.17,2022-08-22,"Österreich"
"2","Belgium",1718.91,1892.03,1235.4,2022-08-22,"Belgien"
"3","Bulgaria",1573.78,1655.08,1769.25,2022-08-22,"Bulgarien"
"4","Croatia",1533.16,1754.96,1168.91,2022-08-22,"Kroatien"
"5","Cyprus",1587.86,1828.15,1437.54,2022-08-22,"Zypern"
"6","Czech Rep.",1635.31,1718.43,1363.19,2022-08-22,"Tschechien"
"7","Denmark",2116.44,2066.69,2112.81,2022-08-22,"Dänemark"
"8","Estonia",1896,1796,1389,2022-08-22,"Estland"
"9","Finland",2115,2090,1756,2022-08-22,"Finnland"
"10","France",1770.74,1840,1496.96,2022-08-22,"Frankreich"
"11","Germany",1792,1975,1493,2022-08-22,"Deutschland"
"12","Greece",2043,1839,1606,2022-08-22,"Griechenland"
"13","Hungary",1290.01,1586.26,1586.26,2022-08-22,"Ungarn"
"14","Ireland",1859,1869,1218.9,2022-08-22,"Irland"
"15","Italy",1749.31,1744.4,1793.86,2022-08-22,"Italien"
"16","Latvia",1820.27,1762.98,1287.86,2022-08-22,"Lettland"
"17","Lithuania",1764.78,1787.79,1240.11,2022-08-22,"Litauen"
"18","Luxembourg",1638,1804,1248,2022-08-22,"Luxemburg"
"19","Malta",1340,1210,1000,2022-08-22,"Malta"
"20","Netherlands",2038,1940,1902,2022-08-22,"Niederlanden"
"21","Poland",1371.95,1507.08,1487.45,2022-08-22,"Polen"
"22","Portugal",1777,1771,1809,2022-08-22,"Portugal"
"23","Romania",1654.82,1765.53,1871.84,2022-08-22,"Rumänien"
"24","Slovakia",1730,1769,NA,2022-08-22,"Slovakei"
"25","Slovenia",1554.87,1705.5,1392.59,2022-08-22,"Slowenien"
"26","Spain",1786.97,1816.15,1331.46,2022-08-22,"Spanien"
"27","Sweden",1870.33,2345.26,1714.93,2022-08-22,"Schweden"
